@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
5472,'2020/10/21 20:53:58:479',7,1,43,312,1,23,0,30,0,0,0
5473,'2020/10/21 20:53:58:583',7,1,43,312,1,23,0,30,0,0,0
5474,'2020/10/21 20:53:58:583',7,1,43,312,1,30,0,30,0,0,0
5475,'2020/10/21 20:53:58:584',7,1,43,312,1,30,0,30,0,0,0
5476,'2020/10/21 20:53:58:584',7,1,43,320,1,30,0,30,0,0,0
5477,'2020/10/21 20:53:58:584',7,1,41,320,1,30,0,30,0,0,0
5478,'2020/10/21 20:53:58:584',7,0,41,320,1,30,0,30,0,0,0
5479,'2020/10/21 20:53:58:676',7,0,41,320,1,30,0,30,0,0,0
5480,'2020/10/21 20:53:58:677',7,0,41,320,1,48,0,30,0,0,0
5481,'2020/10/21 20:53:58:677',7,0,41,320,0,48,0,30,0,0,0
5482,'2020/10/21 20:53:58:677',7,0,41,326,0,48,0,30,0,0,0
5483,'2020/10/21 20:53:58:677',7,0,41,326,0,48,0,30,0,0,0
5484,'2020/10/21 20:53:58:677',7,0,41,326,0,48,0,30,0,0,0
5485,'2020/10/21 20:53:58:781',7,0,41,326,0,48,0,30,0,0,0
5486,'2020/10/21 20:53:58:781',7,0,41,326,0,48,0,30,0,0,0
5487,'2020/10/21 20:53:58:781',7,0,41,326,2,48,0,30,0,0,0
5488,'2020/10/21 20:53:58:781',7,0,41,335,2,48,0,30,0,0,0
5489,'2020/10/21 20:53:58:781',7,0,42,335,2,48,0,30,0,0,0
5490,'2020/10/21 20:53:58:781',7,0,42,335,2,48,0,30,0,0,0
5491,'2020/10/21 20:53:58:886',7,0,42,335,2,48,1,30,0,0,0
5492,'2020/10/21 20:53:58:887',7,0,42,335,2,53,1,30,0,0,0
5493,'2020/10/21 20:53:58:887',7,0,42,335,0,53,1,30,0,0,0
5494,'2020/10/21 20:53:58:887',7,0,42,338,0,53,1,30,0,0,0
5495,'2020/10/21 20:53:58:887',7,0,43,338,0,53,1,30,0,0,0
5496,'2020/10/21 20:53:58:887',7,1,43,338,0,53,1,30,0,0,0
5497,'2020/10/21 20:53:58:990',7,1,43,338,0,53,0,30,0,0,0
5498,'2020/10/21 20:53:58:990',7,1,43,338,0,55,0,30,0,0,0
5499,'2020/10/21 20:53:58:990',7,1,43,338,1,55,0,30,0,0,0
5500,'2020/10/21 20:53:58:990',7,1,43,346,1,55,0,30,0,0,0
5501,'2020/10/21 20:53:58:990',7,1,43,346,1,55,0,30,0,0,0
5502,'2020/10/21 20:53:58:990',7,1,43,346,1,55,0,30,0,0,0
5503,'2020/10/21 20:53:59:071',7,1,43,346,1,55,0,30,0,0,0
5504,'2020/10/21 20:53:59:071',7,1,43,346,1,68,0,30,0,0,0
5505,'2020/10/21 20:53:59:071',7,1,43,346,1,68,0,30,0,0,0
5506,'2020/10/21 20:53:59:071',7,1,43,342,1,68,0,30,0,0,0
5507,'2020/10/21 20:53:59:072',7,1,46,342,1,68,0,30,0,0,0
5508,'2020/10/21 20:53:59:072',7,0,46,342,1,68,0,30,0,0,0
5509,'2020/10/21 20:53:59:187',7,0,46,342,1,68,0,30,0,0,0
5510,'2020/10/21 20:53:59:187',7,0,46,342,1,98,0,30,0,0,0
5511,'2020/10/21 20:53:59:187',7,0,46,342,1,98,0,30,0,0,0
