@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
29378,'2020/10/01 16:11:31:137',179,0,0,0,0,0,0,0,0,0,0
29379,'2020/10/01 16:11:31:137',179,0,0,0,0,0,0,0,0,0,0
29380,'2020/10/01 16:11:31:137',179,0,0,0,0,0,0,0,0,0,0
29381,'2020/10/01 16:11:31:137',179,0,0,0,0,0,0,0,0,0,0
29382,'2020/10/01 16:11:31:137',179,0,0,0,0,0,0,0,0,0,0
29383,'2020/10/01 16:11:31:240',179,0,0,0,0,0,0,0,0,0,0
29384,'2020/10/01 16:11:31:241',179,0,0,0,0,0,0,0,0,0,0
29385,'2020/10/01 16:11:31:241',179,0,0,0,0,0,0,0,0,0,0
29386,'2020/10/01 16:11:31:241',179,0,0,0,0,0,0,0,0,0,0
29387,'2020/10/01 16:11:31:241',179,0,0,0,0,0,0,0,0,0,0
29388,'2020/10/01 16:11:31:241',179,0,0,0,0,0,0,0,0,0,0
29389,'2020/10/01 16:11:31:334',179,0,0,0,0,0,0,0,0,0,0
29390,'2020/10/01 16:11:31:334',179,0,0,0,0,0,0,0,0,0,0
29391,'2020/10/01 16:11:31:334',179,0,0,0,0,0,0,0,0,0,0
29392,'2020/10/01 16:11:31:334',179,0,0,0,0,0,0,0,0,0,0
29393,'2020/10/01 16:11:31:335',179,0,0,0,0,0,0,0,0,0,0
29394,'2020/10/01 16:11:31:335',179,0,0,0,0,0,0,0,0,0,0
29395,'2020/10/01 16:11:31:438',179,0,0,0,0,0,0,0,0,0,0
29396,'2020/10/01 16:11:31:439',179,0,0,0,0,0,0,0,0,0,0
29397,'2020/10/01 16:11:31:439',179,0,0,0,0,0,0,0,0,0,0
29398,'2020/10/01 16:11:31:439',179,0,0,0,0,0,0,0,0,0,0
29399,'2020/10/01 16:11:31:439',179,0,0,0,0,0,0,0,0,0,0
29400,'2020/10/01 16:11:31:439',179,0,0,0,0,0,0,0,0,0,0
