@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8}

@data
119,'2020/10/01 16:47:06:338',1,0,0,0,0,0,0,1
120,'2020/10/01 16:47:06:338',1,0,0,0,0,0,0,1
121,'2020/10/01 16:47:06:430',1,0,0,0,0,0,0,1
122,'2020/10/01 16:47:06:430',1,0,0,0,0,0,0,1
123,'2020/10/01 16:47:06:430',1,0,0,0,0,0,0,1
124,'2020/10/01 16:47:06:430',1,0,0,0,0,0,0,1
125,'2020/10/01 16:47:06:430',1,0,0,0,0,0,0,1
126,'2020/10/01 16:47:06:430',1,0,0,0,0,0,0,1
127,'2020/10/01 16:47:06:535',1,0,0,0,0,0,0,1
128,'2020/10/01 16:47:06:535',1,0,0,0,0,0,0,1
129,'2020/10/01 16:47:06:535',1,0,0,0,0,0,0,1
130,'2020/10/01 16:47:06:535',1,0,0,0,0,0,0,1
131,'2020/10/01 16:47:06:535',1,0,0,0,0,0,0,1
132,'2020/10/01 16:47:06:535',1,0,0,0,0,0,0,1
133,'2020/10/01 16:47:06:639',1,0,0,0,0,0,0,1
134,'2020/10/01 16:47:06:639',1,0,0,0,0,0,0,1
135,'2020/10/01 16:47:06:639',1,0,0,0,0,0,0,1
136,'2020/10/01 16:47:06:639',1,0,0,0,0,0,0,1
137,'2020/10/01 16:47:06:639',1,0,0,0,0,0,0,1
138,'2020/10/01 16:47:06:639',1,0,0,0,0,0,0,1
139,'2020/10/01 16:47:06:732',1,0,0,0,0,0,0,1
140,'2020/10/01 16:47:06:732',1,0,0,0,0,0,0,1
141,'2020/10/01 16:47:06:732',1,0,0,0,0,0,0,1
142,'2020/10/01 16:47:06:732',1,0,0,0,0,0,0,1
143,'2020/10/01 16:47:06:732',1,0,0,0,0,0,0,1
144,'2020/10/01 16:47:06:732',1,0,0,0,0,0,0,1
145,'2020/10/01 16:47:06:836',1,0,0,0,0,0,0,1
146,'2020/10/01 16:47:06:836',1,0,0,0,0,0,0,1
147,'2020/10/01 16:47:06:836',1,0,0,0,0,0,0,1
148,'2020/10/01 16:47:06:836',1,0,0,0,0,0,0,1
149,'2020/10/01 16:47:06:836',1,0,0,0,0,0,0,1
150,'2020/10/01 16:47:06:836',1,0,0,0,0,0,0,1
151,'2020/10/01 16:53:26:553',2,0,0,0,0,0,0,1
152,'2020/10/01 16:53:26:554',2,0,0,0,0,0,0,1
153,'2020/10/01 16:53:26:554',2,0,0,0,0,0,0,1
154,'2020/10/01 16:53:26:554',2,0,0,0,0,0,0,1
155,'2020/10/01 16:53:26:554',2,0,0,0,0,0,0,1
156,'2020/10/01 16:53:26:555',2,0,0,0,0,0,0,1
157,'2020/10/01 16:53:26:657',2,0,0,0,0,0,0,1
158,'2020/10/01 16:53:26:657',2,0,0,0,0,0,0,1
159,'2020/10/01 16:53:26:657',2,0,0,0,0,0,0,1
160,'2020/10/01 16:53:26:657',2,0,0,0,0,0,0,1
161,'2020/10/01 16:53:26:657',2,0,0,0,0,0,0,1
162,'2020/10/01 16:53:26:657',2,0,0,0,0,0,0,1
163,'2020/10/01 16:53:26:761',2,0,0,0,0,0,0,1
164,'2020/10/01 16:53:26:761',2,0,0,0,0,0,0,1
165,'2020/10/01 16:53:26:762',2,0,0,0,0,0,0,1
166,'2020/10/01 16:53:26:762',2,0,0,0,0,0,0,1
167,'2020/10/01 16:53:26:762',2,0,0,0,0,0,0,1
168,'2020/10/01 16:53:26:762',2,0,0,0,0,0,0,1
169,'2020/10/01 16:53:26:854',2,0,0,0,0,0,0,1
170,'2020/10/01 16:53:26:854',2,0,0,0,0,0,0,1
171,'2020/10/01 16:53:26:854',2,0,0,0,0,0,0,1
172,'2020/10/01 16:53:26:854',2,0,0,0,0,0,0,1
173,'2020/10/01 16:53:26:854',2,0,0,0,0,0,0,1
174,'2020/10/01 16:53:26:854',2,0,0,0,0,0,0,1
175,'2020/10/01 16:53:26:959',2,0,0,0,0,0,0,1
176,'2020/10/01 16:53:26:959',2,0,0,0,0,0,0,1
177,'2020/10/01 16:53:26:959',2,0,0,0,0,0,0,1
178,'2020/10/01 16:53:26:959',2,0,0,0,0,0,0,1
179,'2020/10/01 16:53:26:959',2,0,0,0,0,0,0,1
180,'2020/10/01 16:53:26:959',2,0,0,0,0,0,0,1
181,'2020/10/01 16:53:27:063',2,0,0,0,0,0,0,1
182,'2020/10/01 16:53:27:063',2,0,0,0,0,0,0,1
183,'2020/10/01 16:53:27:063',2,0,0,0,0,0,0,1
184,'2020/10/01 16:53:27:063',2,0,0,0,0,0,0,1
185,'2020/10/01 16:53:27:063',2,0,0,0,0,0,0,1
186,'2020/10/01 16:53:27:063',2,0,0,0,0,0,0,1
187,'2020/10/01 16:53:27:156',2,0,0,0,0,0,0,1
188,'2020/10/01 16:53:27:157',2,0,0,0,0,0,0,1
189,'2020/10/01 16:53:27:157',2,0,0,0,0,0,0,1
190,'2020/10/01 16:53:27:158',2,0,0,0,0,0,0,1
191,'2020/10/01 16:53:27:158',2,0,0,0,0,0,0,1
192,'2020/10/01 16:53:27:158',2,0,0,0,0,0,0,1
193,'2020/10/01 16:53:27:260',2,0,0,0,0,0,0,1
194,'2020/10/01 16:53:27:261',2,0,0,0,0,0,0,1
195,'2020/10/01 16:53:27:261',2,0,0,0,0,0,0,1
196,'2020/10/01 16:53:27:261',2,0,0,0,0,0,0,1
197,'2020/10/01 16:53:27:261',2,0,0,0,0,0,0,1
198,'2020/10/01 16:53:27:261',2,0,0,0,0,0,0,1
199,'2020/10/01 16:53:27:353',2,0,0,0,0,0,0,1
200,'2020/10/01 16:53:27:354',2,0,0,0,0,0,0,1
201,'2020/10/01 16:53:27:354',2,0,0,0,0,0,0,1
202,'2020/10/01 16:53:27:354',2,0,0,0,0,0,0,1
203,'2020/10/01 16:53:27:354',2,0,0,0,0,0,0,1
204,'2020/10/01 16:53:27:354',2,0,0,0,0,0,0,1
205,'2020/10/01 16:53:27:459',2,0,0,0,0,0,0,1
206,'2020/10/01 16:53:27:460',2,0,0,0,0,0,0,1
207,'2020/10/01 16:53:27:460',2,0,0,0,0,0,0,1
208,'2020/10/01 16:53:27:460',2,0,0,0,0,0,0,1
209,'2020/10/01 16:53:27:460',2,0,0,0,0,0,0,1
210,'2020/10/01 16:53:27:460',2,0,0,0,0,0,0,1
211,'2020/10/01 16:53:27:563',2,0,0,0,0,0,0,1
212,'2020/10/01 16:53:27:563',2,0,0,0,0,0,0,1
213,'2020/10/01 16:53:27:563',2,0,0,0,0,0,0,1
214,'2020/10/01 16:53:27:563',2,0,0,0,0,0,0,1
215,'2020/10/01 16:53:27:563',2,0,0,0,0,0,0,1
216,'2020/10/01 16:53:27:563',2,0,0,0,0,0,0,1
217,'2020/10/01 16:53:27:655',2,0,0,0,0,0,0,1
218,'2020/10/01 16:53:27:656',2,0,0,0,0,0,0,1
219,'2020/10/01 16:53:27:656',2,0,0,0,0,0,0,1
220,'2020/10/01 16:53:27:656',2,0,0,0,0,0,0,1
221,'2020/10/01 16:53:27:656',2,0,0,0,0,0,0,1
222,'2020/10/01 16:53:27:656',2,0,0,0,0,0,0,1
223,'2020/10/01 16:53:27:761',2,0,0,0,0,0,0,1
224,'2020/10/01 16:53:27:761',2,0,0,0,0,0,0,1
